smile,flavor
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=C)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,sweet
C1=NC2=C(C(=N1)NCCCOCCCN)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,sweet
CCOC1C(C(C(OC1OC)COC)O)O,sweet
COCC1C(C(C(C(O1)OC)OCCO)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)SSSSP(=O)(O)O)O)O,sweet
CC1=NC2=C(C(=N1)NC)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,sweet
COCC1C(C(C(C(O1)OC2C(OC(C(C2O)OC)O)CO)OC)O)OO,sweet
C(C(C(CO)OS)O)O,sweet
C1C(C(OC(C1O)(CO)O)CO)O,sweet
C1=CC=C(C=C1)C(=NNC2=CC=CC=C2)N=NC3=C(C=CC=C3F)F,sweet
C1C(OC(C(C1(O)OC2C(C(C(C(O2)CO)O)O)O)O)O)CO,sweet
CC1C(OC(C(C1O)O)OC2=CC(=C3C(=O)CC(OC3=C2)C4=CC(=C(C=C4)OC)O)O)COC5C(C(C(C(O5)C)O)C)O,sweet
CCCCCOCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O,sweet
COCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O,sweet
C1COCCOCCOC2C(C(C(C(O2)COCCOCCO1)O)O)O,sweet
CCC(C)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,sweet
COP(=O)(OP(=O)(O)O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,sweet
C(C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)O.Br,sweet
CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(OC)OP(=O)(O)OP(=O)(O)O)O)O,sweet
CNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(OC)OP(=O)(O)OP(=O)(O)OC)O)O)N,sweet
CO[N+]1=C(C2=C(N=C1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OC)O)O)N,sweet
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)COC(CC5CCC(C5O)O)CO)O)O)O)O)O,sweet
CCOP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O,sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O[Si](=O)O)CO)O)O)O)O,sweet
CCCCOC1C(OC(C(C1O)OCCCC)OC)C,sweet
CNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(OC)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet
CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OC)O)O,sweet
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O.C(C(COP(=O)(O)O)O)O,sweet
C(C1C(C(C(C(O1)O)O)(O)O)O)O,sweet
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)(C8C(C(C(C(O8)CO)O)O)O)O)O)(C)C(=O)OC9C(C(C(C(O9)CO)O)O)O,sweet
CC(C(C)OC(CO)C(CO)O)OC1C(C(C(C(O1)CO)O)O)O,sweet
C1=NC2=C(C(=N1)NCCCOCCOCCOCCOCCOCCCN)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,sweet
CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,sweet
CNC1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(Cl)Cl)O)O,sweet
CC1=NC2=C(C(=N1)NC)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,sweet
CC(COCC1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,sweet
COCCOCCOCC1C(C(C(C(O1)OC)O)O)OC,sweet
CCC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CCC4(C(C3)CCC5C4CC(C6(C5CCC6C(C)CCC(=O)O)C)OC7C(C(C(C(O7)CC)OC8C(C(C(C(O8)CC)O)O)O)O)O)C)CC)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=S)I)O)O,sweet
CNC1=NC(=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet
CCCOCCOCC1C(C(C(C(O1)OC)O)O)OC,sweet
COC1C(OC(C(C1O)O)OC)COCCOCO,sweet
COC1C(OC(C(C1O)O)OC)COCCOCCO,sweet
[H+].C(C(C(C(CO)O)O)O)O,sweet
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O.C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,sweet
C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O.OP(=S)(O)O,sweet
CCC(OC1CC(OC(C1O)C)OC)OC(C)C(CO)O,sweet
CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC)O)O,sweet
CC(C(C1COC(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O,sweet
COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C3=C(C(=NC=N3)N)N=C2N=[N+]=[N-])O)O,sweet
COC1CC(C(OC1CO)OC2C(OC(C(C2O)O)OC)CO)O,sweet
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O,sweet
CC(C(C(C(C1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)OOC)O)O)O)O)O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3(C(C(C(O3)CO)O)O)P(=O)(O)OP(=O)(O)OP(=O)(O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3(C(C(C(O3)CO)(O)P(=O)(O)O)(OP(=O)(O)O)P(=O)(O)O)P(=O)(O)O,sweet
CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(CO7)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C,sweet
CCOC1C(CC(C(O1)C)O)O,sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O.C(C(C(CO)O)O)O,sweet
COCOC1CC(CC(O1)CO)O,sweet
CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)OO)C4=CC(=C(C=C4)O)O)O)OO)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Si],sweet
CC(CO)OC(C)OC1=CC(=CC(=C1C(=O)CCC2=CC(=C(C=C2)O)O)O)O,sweet
CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C=O)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C(=O)O)C,sweet
C(COC(C(C(CO)O)O)OC1C(C(C(C(O1)CO)O)O)O)O,sweet
CC(OCC1C(C(C(C(O1)O)O)O)O)OC(CO)C(C(CO)O)O,sweet
C(C1C(C(C(C(O1)O)O)O)OCOC(CO)CO)O,sweet
C(CO)C(C(CO)(O)O)O,sweet
[B]C1=NC2=C(N1C3C(C4C(O3)COP(=O)(O4)O)O)N=CN=C2N,sweet
[B]C1=NC2=C(N1C3C(C4C(O3)COP(=S)(O4)O)O)N=CN=C2N,sweet
C(C(C(C(C([CH-]O)O)O)O)O)O.[Ti],sweet
C(C(C(C(C(CO)O)O)O)O)O.[Ti],sweet
C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)O)O)O,sweet
CCC(C(C(C)O)O)OC(C)OCC1C(C(C(C(O1)O)O)O)O,sweet
CC1CCC(C2C1C3CCC4(CC3(CC2)CC4=C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O,sweet
CCC(CO)(C(C(C)OCC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC=C(C3=O)C4=CC(=C(C=C4)O)O)O)O)O)O)O)O,sweet
CC(C)OC1=C(C=C(C=C1)N)[N+](=O)[O-],sweet
CC1C(C(C(O1)(CCl)OC2C(C(C(C(O2)CO)Cl)O)O)O)O,sweet
CC1C(C(C(C(O1)OCC2(COC(C(C2O)O)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O,sweet
CP(=O)(O)OP(=O)(O)OCC1CC(C(O1)N2C=NC3=C2N=CN=C3N)O,sweet
CP(=O)(CP(=O)(O)OCC1CC(C(O1)N2C=NC3=C2N=CN=C3N)O)O,sweet
CC(C)P(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,sweet
CC(C1C(C(C(O1)(CCl)OC2C(C(C(C(O2)CO)Cl)O)O)O)O)Cl,sweet
C(C1C(C(C(C(O1)OC2C(C(OC2(O)O)CO)O)O)O)O)O,sweet
CCC1C(C(C(O1)(CCl)OC2C(C(C(C(O2)CO)Cl)O)O)O)O,sweet
COOCC1C(C(C(C(O1)O)O)O)O,sweet
CC1CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C=O)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C(=O)O,sweet
CCOC1C(C(C(C(O1)COC(CO)OC(CO)C(CO)O)O)O)O,sweet
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)CC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,sweet
C1C(C(OC1(CCl)OC2C(C(C(C(O2)COC=O)Cl)O)O)CCl)O,sweet
C1C(C(OC1(CCl)OC2C(C(C(C(O2)CO)Cl)O)O)CCl)O,sweet
CC(OC1C(OC(C(C1O)O)O)CO)OC(CO)C(C(CO)O)O,sweet
CP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O,sweet
C1C(C(C(OC1OCOC(CO)C(CO)O)CO)O)O,sweet
CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)OC)C4=CC(=C(C=C4)O)O)O)OO)O,sweet
CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)OO)O,sweet
CC(CC(C)OCC1C(C(CC(O1)OC2=CC(=C(C(=C2)OC)C(=O)C=CC3=CC(=C(C=C3)OC)O)O)O)O)C(C(CO)O)O,sweet
CCC(C(C(COCC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O)O)O)O,sweet
CC1C(C(CC(O1)O)OC(CO)OC(CO)C(CO)O)O,sweet
CCCOC1CC(C(C(O1)C)O)O,sweet
CCOC1=C(C=C(C=C1)N(O)O)[N+](=O)[O-],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=S)(O)O)O)OO,sweet
C(C1C(C(C(C(O1)OC2C(OC(C2O)(O)O)CO)O)O)O)O,sweet
C(C(C(CO)OO)O)O,sweet
CCN(CC)C1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O[P+](=O)O)O)O,sweet
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NCl,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP=O)O,sweet
C(C(C(C(C(CO)O)O)O)O)O.Cl,sweet
C(CF)OCC1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O,sweet
C(C1C(C(C(C(O1)O)O)O)O)O.[Pb],sweet
C(C(C(C(C(C=O)O)O)O)O)O.S,sweet
C(CO)C(C(O)(O)O)O,sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Al].I,sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Cu],sweet
CCC(C)OC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],sweet
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)OS)O)O,sweet
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.[Ti],sweet
C(C(C(C(C(=O)CO)O)O)O)O.O[Ge]=O,sweet
C(C(C(C(C(=O)CO)O)O)O)O[Ge]=O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.Cl[Ag].[Ag],sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Na].[Na],sweet
[Li].C(C(C(C(C(C=O)O)O)O)O)O.[Na],sweet
C(C(C(C(C(CO)O)O)O)O)O.[Ni],sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Ni],sweet
C=O.C(C(C(C(C(C=O)O)O)O)O)O.[Na],sweet
C(C(C(C(C(C=O)O)O)O)O)O.O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O.OS(=O)(=O)O,sweet
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O.C(C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3(C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)C(ON)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O.N=P(O)(O)OP(=O)(O)O,sweet
C(C1C(C(C(C(O1)(O)OO)O)O)O)O,sweet
C(CO)O.C(C(C(CO)O)O)O,sweet
C(C(C(C(C(=O)CO)O)O)O)O.Cl.[Ca],sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Fe].[Fe],sweet
C(C1C(C(C(O1)(CO)OC2C(C(C(C(O2)COO)O)O)O)O)O)O.[Ca],sweet
C(C(C(C(C(C=O)O)O)O)O)O.Cl.Cl,sweet
C(C(C(C(C(=O)CO)O)O)O)O.O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Cu],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(OP(=O)(O)O)OS(=O)(=O)O)O)O,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.[Ca].[Ca],sweet
CCCCCCCCCCCCCCCCCC(=O)OC1C(C(OC(C1OC2C(C(C(C(O2)C(=O)O)O)O)O)OC3CCC4(C(C3(C)C)CCC5(C4C(=O)C=C6C5(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C)C(=O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)SP(=O)(O)OP(=O)(O)O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)I)COP(=O)(O)[O-])O.[Na+],sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)I)COP(=O)(O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)I)COP(=O)(O)O)O.[Na],sweet
C(=O)C(C(C(C(C(O)(O)O)O)O)O)O,sweet
C(C(C(C(C(=O)COO)O)O)O)O,sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Zn],sweet
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N.[Pb],sweet
C(C(C(C(C(CO)O)O)O)O)O.[Zn],sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Na+].[Br-],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)C(O)P(=O)(O)O)O)(O)P(=O)(O)O,sweet
CC(C(=O)N)N(C1C(SC1(C)C)(C)C)C(=O)C(CC(=O)O)N.O,sweet
C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Bi],sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Ti].[Ba],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)OP(=O)([O-])OP(=O)(O)OP(=O)(O)[O-])O.[Na+].[Na+],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O.OP(=S)(O)O,sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)([O-])[O-])O.[Ba+2],sweet
[Li+].[Li+].C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)([O-])[O-])O,sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)([O-])[O-])O.[Ca+2],sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)([O-])[O-])O.[NH4+].[NH4+],sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)(O)[O-])O.[Na+],sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)(O)O)O.[Na],sweet
C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)COP(=O)([O-])[O-])O.[Mg+2],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO[P+](=O)OP(=O)(O)O)O)O,sweet
CC1C(OC(C(C1O)O)OC2C(C(C(OC2OC34CCC5C6(CCCC(C6CCC5(C3)CC4=C)(C)C(=O)OC7C(C(C(C(O7)CO)O)C)OC8C(C(C(C(O8)CO)O)O)O)C)CO)O)OC9C(C(C(C(O9)CO)O)O)O)CO,sweet
CC(=O)C1C(C(C(C(O1)OC2CCC3(C(C2(C)C)CCC4(C3CC=C5C4(CC(C6(C5CC(C(C6OC(=O)C)OC(=O)C)(C)C)CO)OC(=O)C)C)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O,sweet
C(C(C(COS)O)O)O,sweet
CO.C(C(C(C(C(=O)CO)O)O)O)O,sweet
C(C(C(C(C(CO)O)O)O)O)O.[K],sweet
C1=NC2=C(C(=N1)N)N=C(N2C3C(C(C(O3)CO)O)O)Cl.OP(=O)(O)OP(=O)(O)O,sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O.O=[Ti]=O,sweet
C(C1C(C(C(C(O1)OC2(C(C(C(C(O2)CO)O)O)O)O)O)O)O)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[K],sweet
C(C1C(C(C(C(O1)(O)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,sweet
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)OS(=O)(=O)[O-].[Na+],sweet
C(C(C(C(C(CO)O)O)O)O)O.[Al],sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Al],sweet
COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC=O,sweet
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C.CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,sweet
C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ge],sweet
CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6(C(C(C(C(O6)CO)O)O)OC(=O)C7C(C(C(C(O7)O)O)O)O)O)C)CO)C,sweet
C(C(C(C(C(CO)(O)O)O)O)O)O,sweet
C(C(C(C(C([CH-]O)O)O)O)O)O.O.[Mg+2],sweet
C(C(C(C(CO)O)O)O)O.[Na],sweet
C1=CC=C2C(=C1)C(=NS2(=O)=O)[O-].[OH3+],sweet
C(C(C(C(C([CH-]O)O)O)O)O)O.[Cu+],sweet
C1=NC2=C(N1C3C(C(C(O3)CO[P+](=O)OCO[P+](=O)O)O)O)N=C(N=C2N)Cl,sweet
C(C1C(C(C(O1)(CO)OC2C(C(C(C(O2)CO[Sn]O[Sn])O)O)O)O)O)O,sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO[Sn]O[Sn])O)O)O)O,sweet
[Li].C(C(C(C(C(CO)O)O)O)O)O,sweet
[Li].C(C(C(C(C(=O)CO)O)O)O)O,sweet
C(C(C(C(C(=O)CO)O)O)O)O.[F-].[Na+],sweet
[B].C(C(C(C(C(CO)O)O)O)O)O,sweet
[B].C(C(C(C(C(=O)CO)O)O)O)O,sweet
C1COC(O1)(C2(C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O)O,sweet
C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ni],sweet
COOC(C=O)C(C(C(CO)O)O)O,sweet
C(C(C(C(C(C=O)O)(O)F)O)O)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Na],sweet
C(C(C(C(CO)O)O)O)O.Br,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)(O)OP(=O)(O)O)O)O.[Mg+2].[Cl-],sweet
C(C(C(C(C(=O)COF)O)O)O)O,sweet
CC1C(C(C(C(O1)OOC)O)O)O,sweet
C1CO1.C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,sweet
C(C1C(C(C(C(O1)OC2C(C(C(O2)CO)O)O)O)O)O)O.[Ge],sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Ca],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)C(OO)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,sweet
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(NCCCN)O)O,sweet
C.C(C1C(C(C(C(O1)O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O[P+](=O)OCO[P+](=O)O)O)O,sweet
COC1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(C)O)O,sweet
COCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(C)O,sweet
C(COOC1C(C(C(C(O1)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)OP(=O)(OP(=O)(O)O)OP(=O)(O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)OP(=O)(OP(=O)(O)O)OP(=O)(O)O)O,sweet
C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Ba],sweet
C(C(C(C(C(=O)CO)F)O)O)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Cr],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.OP(=O)(O)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Mg].[Ca],sweet
CCCCOC1=CC=C(C=C1)NC(=O)N=O,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.C(C(C(C(C(C(=O)O)O)O)O)O)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.Br,sweet
C(C(C(C(C([CH-]O)O)O)O)O)O.[Au+],sweet
C(C(C(C(C(CO)O)O)O)O)O.[Au],sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Au],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP4(=O)OP(=O)(O4)O)O)O,sweet
C.C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP4(=O)OP(=O)(O4)O)O)O,sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Zn],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O.[Tl],sweet
C(C1C(C(C(C(O1)O)O)O)O)O.[Gd],sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O.[Sn],sweet
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)C(=[Sn])O)O)O)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COO)O)O,sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O.OP(=O)(O)OP(=O)(O)O,sweet
C1C(OC(C1O)N2C=NC3=C2N=CN=C3N)CO.OP(=O)(O)O.OP(=O)(O)O,sweet
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,sweet
C(C(C(C(C(C=O)O)O)O)(O)F)O,sweet
C(C(C(C(C(C=O)O)O)O)OF)O,sweet
C1C(C(OC1N2C3=C(C(=NC=N3)N)N=C2I)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Na+].[Cl-],sweet
C(C(C(C(C(C=O)O)O)O)O)O.[Cl-].[K+],sweet
C1=CC=C(C=C1)NN=C(C2=CC(=CC=C2)I)N=NC3=CC=CC=C3,sweet
C(C(C(C(CO)O)O)O)O.Cl,sweet
C(C(C(C(C(=O)CO)O)O)O)O.[Na],sweet
C(C1C(C(C(C(O1)[OH2+])O)O)O)O.[I-],sweet
C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O.OP(=O)(O)O,sweet
